Date,Close,Open,High,Low,Volume,Change
2021-07-26,1047.63,1059.91,1060.21,1045.27,1270000000.0,-0.0075
2021-07-27,1046.55,1050.87,1053.46,1045.66,1550000000.0,-0.001
2021-07-28,1035.68,1043.19,1048.78,1030.04,1420000000.0,-0.0104
2021-07-29,1044.13,1040.45,1044.79,1039.26,1210000000.0,0.008199999999999999
2021-07-30,1031.14,1044.28,1044.36,1029.19,1340000000.0,-0.0124
2021-08-02,1037.8,1033.17,1038.49,1029.26,1200000000.0,0.006500000000000001
2021-08-03,1036.11,1038.91,1041.76,1029.05,1500000000.0,-0.0016
2021-08-04,1047.93,1038.96,1047.93,1035.98,1490000000.0,0.011399999999999999
2021-08-05,1059.54,1050.45,1060.14,1050.32,1370000000.0,0.0111
2021-08-06,1059.8,1061.32,1062.03,1055.64,1350000000.0,0.0002
2021-08-09,1060.0,1059.29,1061.78,1054.58,1350000000.0,0.0002
2021-08-10,1052.07,1060.9,1060.9,1048.98,1690000000.0,-0.0075
2021-08-11,1051.92,1050.48,1057.03,1048.7,1310000000.0,-0.0001
2021-08-12,1054.09,1054.16,1058.41,1052.21,1090000000.0,0.0021
2021-08-13,1040.78,1054.28,1054.46,1024.48,1370000000.0,-0.0126
2021-08-17,1011.05,1039.66,1039.66,1009.21,1180000000.0,-0.0286
2021-08-18,1021.08,1006.8,1022.09,999.26,1100000000.0,0.009899999999999999
2021-08-19,991.15,1013.93,1022.77,991.13,1400000000.0,-0.029300000000000003
2021-08-20,967.9,997.02,1000.67,964.02,1270000000.0,-0.0235
2021-08-23,993.18,977.87,996.23,969.48,993510000.0,0.026099999999999998
2021-08-24,1013.18,1002.19,1015.09,1000.72,1330000000.0,0.020099999999999996
2021-08-25,1017.78,1017.96,1017.96,1006.98,1230000000.0,0.0045000000000000005
2021-08-26,1020.44,1020.85,1026.26,1015.91,1080000000.0,0.0026
2021-08-27,1023.51,1017.36,1027.26,1014.1,1300000000.0,0.003
2021-08-30,1031.84,1030.65,1035.77,1027.84,1180000000.0,0.008100000000000001
2021-08-31,1038.33,1032.77,1038.33,1026.36,1240000000.0,0.0063
2021-09-01,1045.98,1038.09,1046.0,1035.09,1150000000.0,0.0074
2021-09-02,1047.19,1048.15,1048.2,1042.36,1290000000.0,0.0012
2021-09-03,1053.85,1049.81,1054.53,1047.12,1440000000.0,0.0064
2021-09-06,1052.96,1056.3,1056.3,1049.27,1330000000.0,-0.0008
2021-09-07,1054.43,1054.03,1054.76,1049.8,1570000000.0,0.0014000000000000002
2021-09-08,1037.22,1053.46,1053.46,1037.22,1480000000.0,-0.0163
2021-09-09,1034.62,1033.97,1042.04,1027.64,1410000000.0,-0.0025
2021-09-10,1037.91,1035.86,1039.73,1026.97,1380000000.0,0.0032
2021-09-13,1026.34,1036.86,1037.5,1023.98,1260000000.0,-0.0111
2021-09-14,1037.74,1029.57,1038.94,1028.4,1160000000.0,0.0111
2021-09-15,1042.79,1039.57,1044.26,1038.8,1440000000.0,0.0049
2021-09-16,1039.43,1047.85,1048.37,1037.72,1130000000.0,-0.0032
2021-09-17,1046.12,1040.73,1046.13,1033.69,1160000000.0,0.0064
2021-09-23,1036.26,1040.38,1043.58,1036.25,968170000.0,-0.009399999999999999
2021-09-24,1037.03,1040.43,1045.21,1034.8,1310000000.0,0.0007000000000000001
2021-09-27,1034.82,1037.21,1039.63,1031.93,1050000000.0,-0.0021
2021-09-28,1012.51,1034.04,1034.07,1012.51,1400000000.0,-0.0216
2021-09-29,1001.46,994.61,1004.85,989.07,1310000000.0,-0.0109
2021-09-30,1003.27,1001.92,1010.03,999.58,1290000000.0,0.0018
2021-10-01,983.2,998.7,1002.68,982.26,1370000000.0,-0.02
2021-10-05,955.37,974.24,974.24,950.09,1350000000.0,-0.028300000000000002
2021-10-06,922.36,962.62,967.67,922.36,1650000000.0,-0.0346
2021-10-07,953.43,932.65,953.48,932.32,1350000000.0,0.0337
2021-10-08,953.11,959.81,961.72,948.02,1340000000.0,-0.0003
2021-10-12,940.15,951.12,951.12,936.95,1140000000.0,-0.013600000000000001
2021-10-13,953.47,939.4,954.63,939.28,1050000000.0,0.014199999999999999
2021-10-14,983.43,960.58,983.63,960.52,1190000000.0,0.031400000000000004
2021-10-15,990.54,990.24,992.16,981.83,1370000000.0,0.0072
2021-10-18,993.86,992.57,997.92,985.14,1190000000.0,0.0034000000000000002
